Date,1st Stage Suction Temperature,1st Stage Suction Pressure,1st Stage Discharge Temperature,1st Stage Discharge Pressure,2nd Stage Suction Temperature,2nd Stage Suction Pressure,2nd Stage Discharge Temperature,2nd Stage Discharge Pressure,3rd Stage Suction Temperature,3rd Stage Suction Pressure,3rd Stage Discharge Temperature,3rd Stage Discharge Pressure,4th Stage Suction Temperature,4th Stage Suction Pressure,4th Stage Discharge Temperature,4th Stage Discharge Pressure,5th Stage Suction Temperature,5th Stage Suction Pressure,5th Stage Discharge Temperature,5th Stage Discharge Pressure,1st Stage Discharge Flow,3rd Stage Discharge Flow,5th Stage Discharge Flow,C3 Splitter Purge to 4th Stage Suction,C2 Splitter Purge to 5th Stage Suction,CW Supply Temperature,CW Flow to Olefins,CW Pressure,Compressor Speed,UHP Steam Flow to KT-1,UHP Steam Pressure,UHP Steam Temperature,HP Steam Extraction Flow from KT-1,HP Steam Extraction Pressure,HP Steam Extraction Temperature,E-24 PG Inlet Temperature,E-20 <U+0394>T,E-21 <U+0394>T,E-22 <U+0394>T,E-23 <U+0394>T,Total Power
7/2/2014,30.96162,0.408667,90.59496,1.980442,33.71545,2.077625,92.95151,5.885838,35.42266,6,94.21613,12.76088,35.36014,12.33837,85.85582,22.00253,32.47505,20.86815,92.9428,39.9466,91.85054,90.23493,91.46913,200.0314,1185.516,29.5319,19.78602,4.069921,4555.928,126.4727,105.9167,462.2447,73.70755,46.0046,368.3552,35.7819,56.87951,57.52885,58.85599,50.07392,15.06108
7/3/2014,30.84343,0.420463,90.43567,1.972892,33.64031,2.115371,92.70294,5.971908,35.4896,6,94.13202,13.03771,35.7201,12.39276,85.22368,22.28181,32.47356,21.0704,91.86541,39.89127,92.74585,93.10778,96.54158,200.0067,1090.453,29.36801,19.75741,4.065512,4552.03,132.5546,105.9142,458.2284,79.7742,46.02149,362.7342,35.8179,56.79535,57.21333,58.41192,49.40578,15.24143
7/5/2014,29.8,0.45,89,1.97,32.6,1.97,91,5.98,34.5,5.98,91,12.8,34.2,12.8,81,21.9,34.2,20.8,81,39.5,90.3,91.4,89.2,200,1264.3,29.55832,20.08622,4.041392,4509.7,138.8237,105.9,459.4,82.02,46.52,365.04,34.16,56.4,56.5,56.8,46.84,13.595
7/6/2014,30.8,0.424,89,1.98,33.2,1.98,91,5.89,35.1,5.89,92,12.7,34.7,12.7,81,21.8,31.9,20.7,92,39.3,91.8,92.1,88.8,200,1249.4,28.98352,20.09675,4.003146,4490.4,138.4675,105.9,457.9,73.22,46.51,365.5,34.88,55.8,55.9,57.3,46.12,14.35163
7/7/2014,30.3,0.35,88,1.97,32.5,1.97,89,5.65,34.5,5.65,90,12.1,33.6,12.1,80,21,31.2,19.9,90,37.5,89.3,91.9,86.6,200,1448.4,29.08138,20.0548,4.031654,4438.1,138.6102,105.9,465.9,66.99,46.29,374.22,34.24,55.5,54.5,56.4,45.76,13.89782
7/30/2014,31.90576,0.449991,91.79569,1.971182,34.16784,2.191618,93.213,6,37.12295,6,92.7941,13.78699,38.25395,13.48396,87.71175,23.15682,34.2563,21.78499,93.83726,40.26023,100.9177,102.3121,105.5949,341.9576,902.6141,30.02738,20.16662,4.040182,4614.242,138.2838,105.9132,453.1279,80.51887,46.51571,356.8647,38.6322,57.62785,56.09005,54.54016,49.07955,16.97744
7/31/2014,31.44713,0.449888,91.25658,1.970137,33.70683,2.18615,92.604,6,36.6001,6,92.03367,13.72239,37.75861,13.57927,87.01542,23.02002,33.99558,21.65766,93.22468,39.94959,100.2219,101.6912,105.0673,336.8188,884.9899,29.55832,20.08622,4.041392,4600.74,138.8237,105.914,454.1728,81.9184,46.5279,357.8014,38.1101,57.54975,56.0039,54.27506,48.90532,16.80355
8/1/2014,30.82889,0.449833,90.61357,1.963187,33.16232,2.191642,91.98248,6,36.06879,6,91.41071,13.74122,37.34738,13.59736,86.62892,23.03042,33.49,21.67618,92.77898,40.01486,100.0971,101.0421,104.6362,333.3934,850.2177,28.98352,20.09675,4.003146,4595.712,138.4675,105.9143,453.6042,82.1304,46.52131,357.2193,37.6481,57.45125,55.91369,54.06333,48.98082,16.59813
8/2/2014,30.8685,0.449888,90.52811,1.969079,33.02521,2.183771,91.6868,6,35.912,6,91.14472,13.74245,37.16707,13.59631,86.40828,23.05983,33.16978,21.68876,92.45575,40.10797,99.95901,101.1792,105.7054,334.0359,905.1003,29.08138,20.0548,4.031654,4591.198,138.6102,105.9148,454.0662,81.58198,46.52431,357.7818,36.9533,57.5029,55.7748,53.97765,49.45498,16.68615
8/3/2014,31.48826,0.426513,91.17549,1.986208,33.57447,2.132238,92.37153,6,36.42898,6,91.78831,13.6217,37.7864,13.61659,87.23845,22.92604,33.76278,21.56861,93.49538,40.13066,100.7008,101.1265,104.5627,341.3379,1130.028,29.30673,19.97629,4.03655,4599.753,138.3041,105.9157,453.842,81.16998,46.52808,357.6289,38.1979,57.60102,55.94255,54.00191,49.04055,16.84405
8/4/2014,31.42535,0.424833,91.1306,1.971967,33.46819,2.124646,92.29054,6,36.40921,6,91.6822,13.58532,37.70138,13.44411,87.18526,22.87328,33.59305,21.52324,93.44929,40.05033,100.4494,101.6488,103.8499,341.7795,942.5126,29.4034,20.12921,4.05635,4602.334,138.4556,105.9049,453.9154,81.58999,46.53202,357.6708,38.0158,57.6624,55.88133,53.98083,49.16946,16.80804
8/5/2014,30.19716,0.3938,90.47044,1.957371,32.63657,2.072013,91.34914,5.956762,34.85048,6,90.32396,13.04212,35.5588,13.26812,86.39926,22.18768,31.89531,21.02329,93.25757,39.92038,89.60729,90.36165,92.95089,312.506,989.5435,28.63773,20.0811,4.032179,4576.482,134.437,105.9137,457.3294,83.5726,46.5407,362.36,35.7837,57.83387,56.49865,54.76516,50.61556,15.2429
8/6/2014,30.70136,0.427504,91.44265,1.986417,33.48238,2.152429,92.46291,5.987217,35.90948,6,91.20528,13.36851,36.59061,13.34992,87.47158,22.59892,32.65683,21.36903,93.91335,40.02334,93.197,95.8083,97.07415,299.8666,921.7714,29.03566,20.05797,4.032346,4609.283,138.833,105.9141,450.8762,85.61362,46.53022,355.5048,36.5166,57.96027,56.55343,54.61467,50.95498,15.93678
8/7/2014,30.8381,0.423163,90.74635,1.992425,33.27351,2.124513,91.79217,6,36.0735,6,91.42352,13.58431,37.52876,13.48765,87.36832,22.82197,33.47982,21.50503,93.41275,39.90224,97.97061,99.06786,101.4438,300.6054,973.9711,29.21724,20.02,4.0297,4574.859,140.3713,105.9095,451.0159,85.6401,46.55595,355.1662,37.2785,57.47284,55.71867,53.89476,50.08982,16.43612
8/8/2014,30.8,0.4,90.76,2,33.1,2.12,91.78,6,36,06,91.49,13.6,37.4,13.46,87.4,22.8,33.4,21.52,93.55,40,98.07,99.6,101.7,313.7,912.5,29.4034,20.12921,4.05635,4602.334,138.4556,105.9049,453.9154,81.58999,46.53202,357.6708,37.59895,57.66,55.78,54.09,49.80105,16.50701
8/9/2014,30.9,0.4,90.98,2,33,2.14,91.69,6,35.9,6,91.58,13.6,37.3,13.45,87.34,22.9,33.2,21.58,93.34,40,97.71,100.2,102,312.1,838.5,28.63773,20.0811,4.032179,4576.482,134.437,105.9137,457.3294,83.5726,46.5407,362.36,36.91,57.98,55.79,54.28,50.43,16.51321
8/11/2014,31.07989,0.476809,91.08191,1.979226,33.39866,2.240835,92.2994,6,36.44815,6,92.38424,13.89945,37.82849,13.75483,87.24807,23.14994,33.80265,21.7821,93.0536,39.8869,99.9377,104.8456,105.4398,273.2599,801.9457,29.15278,20.12876,4.052891,4603.121,138.7057,105.9201,452.6077,81.04009,46.52438,356.4352,38.18,57.68325,55.85124,54.55575,49.06807,16.92062
8/12/2014,31.03357,0.476671,91.01998,1.97845,33.35897,2.241842,92.30653,6.020388,36.40633,6,92.46503,13.90236,37.77097,13.75075,87.2435,23.15467,33.75302,21.79084,93.06069,39.89245,99.71092,104.6339,105.2247,271.3289,790.7257,29.13212,20.12886,4.052583,4603.064,138.9275,105.9197,452.8272,81.43887,46.5263,356.6714,37.9762,57.66101,55.90019,54.69406,49.2673,16.90048
8/13/2014,30.8,0.5,90.13,2,33.3,2.25,92.77,6.4,36.3,6.36,94.01,14,37.6,13.79,87.23,23.4,33.8,21.99,93.54,40.19,100.65,105.6,105.9,268.9,500.6,29.15278,20.12876,4.052891,4603.121,138.7057,105.9201,452.6077,81.04009,46.52438,356.4352,38,56.83,56.47,56.41,49.23,17.17928
8/14/2014,30.75011,0.442179,89.64647,2.001946,33.37185,2.181504,92.50403,6.318812,36.12485,6.240313,93.82381,13.66557,37.32058,13.76078,86.98919,22.90248,33.44463,21.59068,93.28375,39.9652,97.59863,100.8145,101.7923,315.0369,872.3813,29.03019,20.1178,4.044496,4575.403,142.082,105.9033,446.7436,87.22253,46.54046,351.5768,37.6532,56.27462,56.37918,56.50322,49.33599,16.51329
8/15/2014,31.30705,0.430421,90.30618,1.991162,34.04278,2.161117,93.35492,6.305442,36.86909,6.220322,94.70793,13.67995,38.0338,13.61534,87.76232,22.94065,34.04301,21.59355,94.10198,39.97914,98.96866,101.9035,103.6551,276.9502,944.0609,29.58774,20.07163,4.044233,4594.603,142.2229,105.9146,447.5731,86.0671,46.53498,352.2062,38.4224,56.26341,56.48583,56.67413,49.33992,16.8047
8/16/2014,31.1239,0.339663,89.67928,1.993225,33.09273,1.980783,91.49428,5.866375,36.02744,5.78873,92.42951,12.68184,36.18321,13.37028,87.4313,21.67323,32.83254,20.50895,94.74294,39.19203,93.45913,97.35492,90.56029,325.5269,1170.972,29.16791,20.06411,4.041404,4548.925,132.3904,105.9213,455.0863,79.87337,46.50474,360.9942,37.0167,56.58654,55.46684,56.2463,50.4146,15.71542
8/17/2014,31.0665,0.385679,90.24068,1.995696,33.16263,2.082017,92.05985,6.108529,36.19038,6.004891,93.40524,13.17959,36.64602,13.26862,87.91625,22.37475,33.25088,21.15207,95.06064,39.80897,94.79854,100.5461,95.00305,325.0301,908.3581,29.22685,20.11955,4.044983,4579.109,134.0619,105.919,454.0553,78.99073,46.52669,360.0042,37.4299,57.07805,55.86947,56.75921,50.48635,16.18201
8/18/2014,30.81446,0.473154,90.13189,1.978779,33.17763,2.261942,92.88781,6.479958,36.07463,6.399435,94.5629,13.94749,37.03707,13.65532,87.4115,23.24223,33.35112,21.95655,93.68186,39.98867,95.57966,100.3157,100.6506,263.4694,595.6495,29.10079,20.15775,4.044725,4592.97,142.0073,105.9139,455.7225,87.98204,46.5526,359.9712,37.5488,56.95426,56.81318,57.52583,49.8627,16.46358
